minute_start,minute_end,type,question,options,correct_answer,explanation
0,5,MCQ,"According to the video, approximately what percentage of candidates fail their technical interviews?",50% | 60% | 70% | 80%,70%,"According to the transcript, about 70% of candidates fail their technical interviews, and Python questions are highlighted as the biggest challenge."
0,5,MCQ,What extension does a standard Python module file have?,.class | .py | .pyc | .exe,.py,A Python module is typically a single file containing Python code that ends with the '.py' extension.
0,5,FILL_BLANK,A Python package is a directory hierarchy that must contain a special initialization file named ______.,,__init__.py,A Python package is a directory containing a special file named '__init__.py' which can be empty or execute initialization code.
0,5,FLASHCARD,What is the primary difference between a module and a package in Python?,,"A module is a single Python file containing code (such as functions, classes, and variables), whereas a package is a collection of modules organized in a directory hierarchy that contains an __init__.py file.","Modules are single files useful for grouping related functions, while packages are directories of modules that provide structured organization to prevent name collisions in larger code bases."
0,5,MSQ,Which of the following are true statements about Python packages? (Select all that apply),They are collections of modules organized in a directory hierarchy. | They must contain a file named __init__.py which cannot be empty. | They help avoid module name collisions. | They scale well for organizing larger projects.,They are collections of modules organized in a directory hierarchy.; They help avoid module name collisions.; They scale well for organizing larger projects.,"Packages are directory hierarchies of modules that help avoid naming collisions and organize large code bases. The __init__.py file can be empty, so the requirement that it 'cannot be empty' is false."
0,5,MCQ,Why is Python described as a 'partially compiled' language?,Because it translates source code into C++ before execution. | Because it compiles source code into intermediate bytecode before the interpreter executes it. | Because it can only run on compiled operating systems like Windows. | Because it compiles machine code directly into human-readable code.,Because it compiles source code into intermediate bytecode before the interpreter executes it.,Python is considered partially compiled because its source code is first translated into an intermediate representation called bytecode before being run by the interpreter.
0,5,FLASHCARD,What is 'bytecode' in the context of Python execution?,,"Bytecode is an intermediate, low-level representation of source code compiled from Python files. It is abstract, not human-readable, and is executed line by line by the Python interpreter.",Bytecode represents the compiled form of your Python source code which is then translated to machine code by the interpreter.
0,5,MSQ,"According to the transcript, which of the following are distinct benefits of using Python? (Select all that apply)","Simplicity and readability | Versatility across various fields like AI and web development | Portability across platforms like Windows, Mac OS, and Linux | Extremely high execution speed compared to C","Simplicity and readability; Versatility across various fields like AI and web development; Portability across platforms like Windows, Mac OS, and Linux","Python offers simplicity, versatility, rich libraries, a strong community, portability, and rapid prototyping. It is not, however, known for having execution speeds that exceed low-level compiled languages like C."
0,5,FILL_BLANK,"Python is primarily an ______ language, meaning its code is executed line by line at runtime.",,interpreted,"Python is primarily an interpreted language because code is executed line by line at runtime by an interpreter, as opposed to compiled languages."
0,5,MCQ,Which of the following frameworks or libraries was NOT mentioned in the transcript as part of Python's rich ecosystem?,Django | Pandas | TensorFlow | Spring Boot,Spring Boot,"The video mentions Django, Pandas, and TensorFlow as key examples of Python's rich ecosystem of libraries and frameworks. Spring Boot is a Java framework."
0,5,MSQ,"On which operating systems does Python run seamlessly, according to the portability section? (Select all that apply)",Windows | Mac OS | Linux | Android,Windows; Mac OS; Linux,"The video states that Python runs seamlessly on Windows, Mac OS, and Linux, which simplifies deployment and development."
0,5,FILL_BLANK,"Before being executed by the Python interpreter, source code is first compiled into intermediate ______.",,bytecode,"When running a Python program, the source code is first translated into bytecode, which is then processed by the interpreter."
0,5,FLASHCARD,How does Python's simplicity benefit developers during software development?,,"It provides an easy-to-read and easy-to-write syntax, which makes it highly accessible for beginners and enables experienced developers to quickly write efficient, error-free code.","Python's simple syntax reduces development time and minimizes errors, making it optimal for both beginners and senior engineers."
0,5,MCQ,What is the function of the '__init__.py' file in a Python package?,It acts as the main entry point that compiles the entire project into an .exe. | It is a special file that can execute initialization code for the package or remain empty. | It is used to import external C++ libraries into Python. | It deletes temporary Python files after execution.,It is a special file that can execute initialization code for the package or remain empty.,The __init__.py file resides in package directories to establish them as Python packages. It can contain initialization code or simply be empty.
0,5,FLASHCARD,What are three fields in which Python is highly versatile according to the video?,,"Web development, data analysis, AI (Artificial Intelligence), machine learning, and automation.","Python's versatility allows it to span across high-demand domains like web programming, data processing, machine learning models, and automated scripting."
5,10,MCQ,Is Python a case-sensitive language?,"Yes, it distinguishes between uppercase and lowercase characters in identifiers. | No, variable names are resolved regardless of character casing. | Yes, but only for built-in functions, not user-defined variables. | No, but class names are the only exception.","Yes, it distinguishes between uppercase and lowercase characters in identifiers.","Python is a case-sensitive language, meaning it distinguishes between uppercase and lowercase characters in identifiers (e.g., 'name', 'Ver', and 'VAR' are treated as separate variables)."
5,10,MCQ,What error is raised when attempting to access or modify private attributes directly from outside a class in Python?,TypeError | ValueError | AttributeError | NameError,AttributeError,Attempting to directly access or modify a private attribute (marked with a double underscore) from outside the class will result in an AttributeError.
5,10,FILL_BLANK,"To use a global variable inside a function, the ________ keyword is required.",,global,"To use and modify a global variable inside a local function scope, Python requires the 'global' keyword."
5,10,FLASHCARD,"If you define three variables named ver, Ver, and VAR in Python, how many distinct variables are created and why?",,Three distinct variables are created because Python is case-sensitive.,"Python distinguishes between uppercase and lowercase letters in identifiers. Therefore, variables like 'ver', 'Ver', and 'VAR' are treated as three completely different variables."
5,10,MCQ,Which of the following best describes the Pandas library in Python?,"An open-source library supporting data structures for database operations, data analysis, and manipulation. | A web development framework designed to build secure APIs. | A compiler optimization tool used to accelerate machine learning loops. | A visualization tool designed solely for creating 3D animations.","An open-source library supporting data structures for database operations, data analysis, and manipulation.","Pandas is an open-source Python library that provides specialized data structures and tools for data analyzing, manipulating, and database-like operations."
5,10,MSQ,Which of the following are the main keywords used for handling exceptions in Python? (Select all that apply),try | except | finally | catch | throw,"try, except, finally","The primary keywords used for exception handling in Python are 'try' (monitors code for errors), 'except' (handles the exception), and 'finally' (executes code regardless of whether an error occurred)."
5,10,FLASHCARD,What is the unique feature and typical use case of the finally block in Python's exception handling?,,"The finally block executes code after the try block regardless of whether an error occurred or not, and is typically used for cleanup activities.","The finally block runs no matter what, making it ideal for cleanups such as closing database connections or files, ensuring reliability."
5,10,MCQ,"According to the lecture, when do developers typically choose to use a for loop instead of a while loop in Python?",When they have both starting (straight) and ending conditions to iterate through collections. | When they have only the ending condition to specify. | When they want to create an infinite background thread. | When they need to optimize dynamic memory allocations.,When they have both starting (straight) and ending conditions to iterate through collections.,The for loop is commonly used to iterate through elements of collections when developers have both straight (starting) and ending conditions.
5,10,FILL_BLANK,The Python interpreter uses ________ to determine which statements belong to a specific block of code.,,indentation,Python relies on indentation instead of curly braces to determine the block structure and flow of the program.
5,10,FLASHCARD,"Is 'self' a keyword in Python, and what is its purpose?",,"No, self is not a keyword. It is a naming convention representing the instance of the class to access attributes and methods.","Unlike C++ where 'this' is a keyword, 'self' in Python is a standard argument name used to represent the class instance, but it is not a reserved keyword."
5,10,MSQ,"Which of the following statements accurately describe global, protected, or private attributes in Python? (Select all that apply)",Global variables are public variables defined in the global scope. | Protected attributes are marked with a single underscore and should not be accessed from outside the class by responsible developers. | Private attributes are marked with a double underscore and cannot be accessed or modified directly from outside the class. | Private attributes are marked with a triple underscore and are fully accessible anywhere in the module.,"Global variables are public variables defined in the global scope., Protected attributes are marked with a single underscore and should not be accessed from outside the class by responsible developers., Private attributes are marked with a double underscore and cannot be accessed or modified directly from outside the class.",Global variables exist in the global scope. Protected attributes use a single underscore and should not be accessed outside the class. Private attributes use a double underscore and cause an AttributeError if accessed directly from outside.
5,10,FILL_BLANK,Programmers use a ________ loop in Python when they have only the ending condition to specify.,,while,Programmers use a while loop when they only have the ending condition to specify.
5,10,MCQ,What is a key benefit and drawback of Dynamic Typing in Python as discussed in the lecture?,"It makes coding flexible and faster, but requires careful management to avoid type-related errors. | It prevents runtime errors completely, but significantly slows down execution speed. | It allows strict compile-time checks, but removes runtime flexibility. | It eliminates the need for variable assignment, but consumes double the memory.","It makes coding flexible and faster, but requires careful management to avoid type-related errors.","Dynamic typing increases coding speed and flexibility, but developers must manage it carefully to prevent runtime type-related bugs."
5,10,MSQ,"According to the lecture, what does Python's open-source nature imply? (Select all that apply)","It is free to use, modify, and distribute. | Ongoing improvements are driven by a collaborative community. | It requires commercial licenses for enterprise distribution. | Users must get permission from the creator before modifying the source code.","It is free to use, modify, and distribute., Ongoing improvements are driven by a collaborative community.","Python's open-source nature means it is free for anyone to use, modify, and distribute, with ongoing improvements supported by a collaborative global community."
5,10,FILL_BLANK,Python uses ________ counting to track object references and manage memory automatically.,,reference,Python tracks active references to an object using reference counting to automatically manage memory allocations.
10,15,MSQ,Which of the following statements about multiple inheritance in Python are true? (Select all that apply),"Python supports multiple inheritance, allowing a class to be derived from more than one parent class. | Unlike Java, Python allows a class to inherit from multiple parent classes. | Python does not support multiple inheritance due to the diamond problem. | Both Java and Python support multiple inheritance in the same way.","Python supports multiple inheritance, allowing a class to be derived from more than one parent class. | Unlike Java, Python allows a class to inherit from multiple parent classes.","Unlike Java, Python supports multiple inheritance, meaning a class can be derived from more than one parent class."
10,15,MCQ,Where does Python store all objects and data structures for memory management?,Public Heap space | Private Heap space | System Stack | CPU Cache,Private Heap space,Python manages memory using a private heap space where all objects and data structures are stored. Programmers cannot directly access it.
10,15,FILL_BLANK,Programmers cannot directly access the private heap; it is managed by the Python ________.,,interpreter,"The private heap space in Python is managed automatically by the Python interpreter, and programmers cannot directly access it."
10,15,MSQ,Which of the following functions from the 'os' module can be used to delete a file in Python? (Select all that apply),os.remove | os.unlink | os.delete | os.clear,os.remove | os.unlink,You can delete a file in Python using either os.remove or os.unlink from the os module.
10,15,MCQ,Which sorting technique is used by Python's built-in sort and sorted functions?,Quick Sort | Merge Sort | Tim Sort | Heap Sort,Tim Sort,Python uses the Tim Sort algorithm for its built-in sort and sorted functions. Tim Sort is a stable hybrid sorting algorithm derived from merge sort and insertion sort.
10,15,FLASHCARD,What is Tim Sort and what is its worst-case complexity?,,"Tim Sort is a hybrid stable sorting algorithm derived from merge sort and insertion sort, designed to perform efficiently on real-world data with a worst-case complexity of O(n log n).","Tim Sort combines the best parts of merge sort and insertion sort to create a highly efficient, stable sorting algorithm for real-world scenarios."
10,15,MSQ,Identify the correct characteristics of Python tuples compared to lists. (Select all that apply),"Tuples are immutable. | Tuples consume less memory than lists. | Tuples offer slower iteration speed than lists. | Tuples use parentheses, whereas lists use square brackets.","Tuples are immutable. | Tuples consume less memory than lists. | Tuples use parentheses, whereas lists use square brackets.","Lists are mutable, consume more memory, have slower iteration, and use square brackets. Tuples are immutable, consume less memory, have faster iteration, and use parentheses."
10,15,MCQ,Which of the following statements is true regarding lists and tuples in Python?,Lists are immutable and defined using parentheses. | Tuples are mutable and defined using square brackets. | Lists are mutable and defined using square brackets. | Tuples are mutable and defined using parentheses.,Lists are mutable and defined using square brackets.,"Lists are defined using square brackets and can be modified after creation (mutable), while tuples use parentheses and are immutable."
10,15,FILL_BLANK,The syntax for slicing a sequence in Python is sequence[start:stop:________].,,step,"The full slicing syntax in Python is sequence[start:stop:step], where step is the interval between elements."
10,15,FLASHCARD,What does the 'stop' index represent in Python's slicing syntax?,,"The 'stop' index represents where the slice ends. The element at this index is NOT included in the slice. If omitted, it defaults to the end of the sequence.","In Python slicing, the stop index is exclusive, meaning the slice goes up to but does not include the element at that index."
10,15,MCQ,What mechanism in Python limits the performance benefits of multi-threading for CPU-bound tasks?,The Garbage Collector | The Private Heap | The Global Interpreter Lock (GIL) | Dynamic Allocation,The Global Interpreter Lock (GIL),"Due to Python's Global Interpreter Lock (GIL), only one thread can execute Python byte code at a time per process, limiting performance benefits for CPU-bound tasks."
10,15,MSQ,For which types of tasks is multi-threading in Python highly effective? (Select all that apply),CPU-bound tasks | Input/Output (I/O)-bound tasks | File operations | Network communication,Input/Output (I/O)-bound tasks | File operations | Network communication,"Multi-threading is effective for I/O-bound tasks, such as file operations or network communication, because the Global Interpreter Lock's impact is minimal here compared to CPU-bound tasks."
10,15,MCQ,Why are NumPy arrays faster than Python lists for numerical computations and large datasets?,They are implemented in C and optimized for performance. | They are implemented in Java and support multiple inheritance. | They are dynamic and have slower iteration speeds. | They are managed directly by the programmer rather than the private heap.,They are implemented in C and optimized for performance.,"NumPy arrays are faster than Python lists for numerical computations because they are implemented in C and highly optimized, unlike Python's flexible but slower dynamic lists."
10,15,FILL_BLANK,Tim Sort is a hybrid algorithm derived from merge sort and ________ sort.,,insertion,Tim Sort is a hybrid algorithm derived from merge sort and insertion sort.
10,15,FLASHCARD,How does Python handle cyclic references during memory management?,,"Python features a built-in garbage collector that automatically recycles unused memory, specifically handling cyclic references and deallocating objects with zero references.","Memory reclamation in Python is automated by a garbage collector that can clear cyclic references, which simple reference counting cannot handle on its own."
15,20,MCQ,What is the primary purpose of inheritance in Python?,To allow a child class to inherit attributes and methods from a parent class without rewriting them. | To compile Python code into machine language. | To create private variables that cannot be accessed by other classes. | To speed up the execution of loops and functions.,To allow a child class to inherit attributes and methods from a parent class without rewriting them.,"Inheritance allows a child class (or subclass) to inherit attributes and methods from a parent class (or superclass), promoting code reusability and modularity."
15,20,FILL_BLANK,"In Python, classes are created using the ""___"" keyword followed by the class name and a colon.",,class,"In Python, classes are created using the 'class' keyword, followed by the class name and a colon."
15,20,MCQ,The Fibonacci series usually starts with which two numbers?,0 and 1 | 1 and 1 | 0 and 2 | 1 and 2,0 and 1,The Fibonacci sequence typically begins with the first two terms: 0 and 1.
15,20,FLASHCARD,What is the difference between a shallow copy and a deep copy in Python regarding shared references?,,Shallow copy shares references to nested objects; deep copy fully duplicates all objects so no references are shared.,"In a shallow copy, references to objects are shared between the original and the copy. In a deep copy, all objects are fully copied so that no references are shared."
15,20,MSQ,Which of the following statements are true regarding shallow copy and deep copy in Python? (Select all that apply),"Shallow copying is faster and uses less memory than deep copying. | Deep copying is slower because it duplicates everything, leaving no shared references. | Shallow copy does not share any references with the original object. | Deep copy uses less memory than shallow copy because it optimizes references.","Shallow copying is faster and uses less memory than deep copying. and Deep copying is slower because it duplicates everything, leaving no shared references.","Shallow copy only copies references, making it faster and memory efficient. Deep copy duplicates all objects recursively, which takes more time and memory."
15,20,FILL_BLANK,"The process of linking in Python involves several steps related to the ""___"" and usage of modules and packages.",,import,"Although linking is not as explicit in Python as in compiled languages like C or C++, it involves steps related to the import and usage of modules and packages."
15,20,MCQ,What is the function of the break statement in a Python loop?,Immediately ends the loop and transfers control to the first statement following the loop's body. | Skips the remaining code in the current iteration and proceeds with the next iteration. | Pauses the execution of the loop for a specified number of seconds. | Restarts the loop from the beginning of the first iteration.,Immediately ends the loop and transfers control to the first statement following the loop's body.,The break statement terminates the loop execution immediately and transfers control to the statement right after the loop.
15,20,MCQ,What is the behavior of the continue statement in Python?,"It ends the current iteration of the loop, skips the remaining code in this iteration, and proceeds with the next iteration. | It breaks out of the loop completely. | It acts as a placeholder for an empty block of code. | It raises a runtime exception to stop execution.","It ends the current iteration of the loop, skips the remaining code in this iteration, and proceeds with the next iteration.","The continue statement ends the current iteration of the loop and skips the rest of the code in that block, going straight to the next iteration."
15,20,FILL_BLANK,"The ""___"" keyword in Python is used to fill empty blocks of code and acts as a placeholder.",,pass,The 'pass' keyword is used as a placeholder in Python to fill empty blocks of code without raising errors.
15,20,FLASHCARD,What is PEP 8?,,PEP 8 is the official style guide for writing readable and consistent Python code.,PEP 8 is the Python Enhancement Proposal that provides guidelines and best practices on how to write Python code to ensure readability and maintainability.
15,20,MCQ,In which scenario would Python lists be more suitable than NumPy arrays?,When dealing with heterogeneous data types or when flexibility is more critical than performance. | When maximum computational speed and mathematical operations are required. | When memory consumption needs to be minimized for homogeneous data types. | When creating multi-dimensional matrices of uniform float values.,When dealing with heterogeneous data types or when flexibility is more critical than performance.,Python lists are preferred over NumPy arrays when the data is heterogeneous or flexibility is preferred over speed and performance optimization.
15,20,MSQ,"According to the lecture, what benefits does inheritance promote in Python? (Select all that apply)",Code reusability | Modularity | Creation of a hierarchy of related classes | Compilation speed-ups,"Code reusability, Modularity, and Creation of a hierarchy of related classes","According to the transcript, inheritance promotes code reusability, modularity, and the creation of a hierarchy of related classes, which makes managing complex software easier."
15,20,FLASHCARD,What does the process of compilation involve in Python?,,It converts the source code into a form that can be executed by the Python interpreter.,"The compilation process in Python converts the high-level programmer code into bytecode, which is an executable form for the Python interpreter."
15,20,MCQ,How is each subsequent number in the Fibonacci series calculated?,By summing the two preceding numbers in the sequence. | By multiplying the previous number by two. | By taking the square root of the previous number. | By subtracting the current index from the previous value.,By summing the two preceding numbers in the sequence.,"In the Fibonacci series, each number after the initial terms is generated by summing the two preceding numbers."
15,20,FILL_BLANK,"Following PEP 8 guidelines ensures that Python code is readable and consistent with the broader community, which facilitates ""___"" and reduces maintenance effort.",,collaboration,"Following PEP 8 ensures code is consistent with the broader Python community, facilitating collaboration among developers."
20,25,MCQ,"What is a combination of values, variables, operators, and function calls that the language interpreter evaluates to produce another value?",An expression | A statement | A definition | A class,An expression,"An expression is a combination of values, variables, operators, and function calls that the interpreter evaluates to produce another value."
20,25,MCQ,What does the double equals (==) operator in Python return if the values on either side are not equal?,None | False | True | An error,False,"The double equals (==) operator compares two values and evaluates to True if they are equal, otherwise it evaluates to False."
20,25,MSQ,Which of the following are built-in type conversion functions in Python according to the segment? (Select all that apply),int | float | str | convert,"int, float, str","The functions int, float, and str are built-in type conversion functions in Python, whereas convert is not a built-in Python function."
20,25,FILL_BLANK,"In Python, the ______ function is used to convert a sequence of key-value pairs into a dictionary.",,dict,The dict function converts a sequence of key-value pairs into a dictionary in Python.
20,25,MSQ,Which of the following are commonly used built-in modules in Python mentioned in the lecture? (Select all that apply),os | sys | math | django,"os, sys, math","The lecture mentions os, sys, math, random, datetime, and json as commonly used built-in modules. Django is an external framework, not a built-in module."
20,25,FLASHCARD,What is the main difference in return value between the range and xrange functions in Python 2?,,"The range function returns a list of numbers, while the xrange function returns a generator object.","In Python 2, range evaluates greedily and returns a list, whereas xrange uses lazy evaluation to return a generator object."
20,25,MCQ,Which of the following is true regarding xrange in Python 3?,"It is renamed to xrange3 | It is not found in Python 3, and range works like xrange | It returns a list instead of a generator | It is only used for float values","It is not found in Python 3, and range works like xrange","The xrange function is not found in Python 3. Instead, the range function in Python 3 behaves like xrange did in Python 2."
20,25,FILL_BLANK,The zip function returns a zip object that aggregates elements and returns an iterator of _______.,,tuples,The zip function returns a zip object that aggregates elements from multiple containers and returns an iterator of tuples.
20,25,MCQ,"Which architectural pattern consists of Model, Template, and View (MTV) in Python web development?",Flask | Django | FastAPI | Pyramid,Django,"Django is a high-level web framework built in Python that consists of model, template, and view components."
20,25,MSQ,Select the correct responsibilities of the components in Django architecture as discussed in the lecture: (Select all that apply),Model manages and stores data in the backend | Template stores data in the frontend of the web page | View accepts web requests and delivers web responses | Controller manages database migrations,"Model manages and stores data in the backend, Template stores data in the frontend of the web page, View accepts web requests and delivers web responses","In Django, Model manages backend data, Template handles frontend presentation, and View processes requests and returns responses."
20,25,FLASHCARD,What does inheritance allow a class to do in Python?,,Inheritance allows a class to get all members (methods and attributes) of another class.,Inheritance facilitates code reusability by allowing a child class to inherit methods and attributes from a parent class.
20,25,MSQ,What are the four types of inheritance in Python mentioned in the lecture? (Select all that apply),Single inheritance | Multi-level inheritance | Hierarchial inheritance | Multiple inheritance | Interface inheritance,"Single inheritance, Multi-level inheritance, Hierarchial inheritance, Multiple inheritance","The four types of inheritance in Python mentioned in the segment are single, multi-level, hierarchical, and multiple inheritance."
20,25,FILL_BLANK,"In Python, ______ allows a function to accept any number of positional (non-keyword) arguments.",,*args,The *args syntax allows a function to accept a variable number of non-keyword (positional) arguments.
20,25,MCQ,What is the purpose of **kwargs in a Python function definition?,To pass a variable length of keyword arguments | To pass a fixed number of positional arguments | To return multiple values from a function | To import keyword modules dynamically,To pass a variable length of keyword arguments,The **kwargs syntax serves as a special syntax that allows us to pass a variable length of keyword arguments to a function.
20,25,FLASHCARD,What is an example of a runtime error in Python mentioned in the text?,,Examples include duck typing runtime errors and a missing parenthesis in a print statement.,Runtime errors exist in Python and can occur when duck typing fails or when syntactical errors (like a missing parenthesis in print for Python 3) are evaluated during execution.
25,30,MCQ,What are docstrings in Python primarily used for?,"To speed up the execution of code | To document a specific code segment, usually describing what a function or method does | To define private variables in a class | To import external modules","To document a specific code segment, usually describing what a function or method does",Docstrings (documentation strings) are multi-line strings enclosed in triple quotes used to describe what a function or method does. They can also serve as comments since they are not assigned to a variable.
25,30,FILL_BLANK,Docstrings usually come within ________ quotes.,,triple,Docstrings are multi-line strings that usually come within triple quotes.
25,30,MCQ,What is the behavior of the capitalize method in Python if the first letter of the string is already capitalized?,It throws a ValueError. | It returns the original string. | It converts all other letters to uppercase. | It reverses the string.,It returns the original string.,"According to the transcript, using the capitalize method on a string that already starts with a capital letter returns the original string."
25,30,FLASHCARD,What keyword do generators use instead of 'return' to return a generator object?,,yield,Generators are Python functions that return an iterable collection of items one at a time using the 'yield' keyword instead of 'return'.
25,30,MSQ,"According to the transcript, how can comments be written in Python? (Select all that apply)",Using the hash character (#) at the start of a comment | Using multi-line comment blocks enclosed in /* and */ | Using docstrings enclosed within triple quotes | Using double slashes (//),"Using the hash character (#) at the start of a comment, Using docstrings enclosed within triple quotes","In Python, standard comments start with a hash character (#). However, you can also use docstrings (strings enclosed within triple quotes) to serve the purpose of comments."
25,30,FLASHCARD,What is GIL and what is its purpose?,,"GIL stands for Global Interpreter Lock. It is a mutex used to limit access to Python objects, synchronizing threads and preventing them from running at the same time.","The Global Interpreter Lock (GIL) is a mutex in Python that synchronizes thread execution, preventing multiple threads from running Python bytecodes at the same time."
25,30,MCQ,"According to the transcript, which framework is better suited for large, complex applications with many built-in features?",Flask | Django | Tornado | Bottle,Django,"Django is better suited for large, complex applications with many built-in features, whereas Flask is better for small to medium projects requiring flexibility."
25,30,MSQ,Which of the following are mentioned as benefits of Flask? (Select all that apply),Simplicity and minimalism | High complexity with built-in database administration out-of-the-box | Flexibility and complete control over application components | Modular and extensible design,"Simplicity and minimalism, Flexibility and complete control over application components, Modular and extensible design","Flask provides benefits such as simplicity and minimalism, flexibility (complete control over application components), a modular and extensible design, and wide adoption with community support."
25,30,FILL_BLANK,"According to the lecture transcript, PIP is an acronym for Python ________ Package.",,Installer,The transcript notes that PIP is an acronym for python installer package.
25,30,MCQ,What is PIP?,A Python compiler | A command-line tool that provides a seamless interface to install various python modules | An IDE for writing Python code | A module used for multi-threading,A command-line tool that provides a seamless interface to install various python modules,PIP is a command-line tool that can search for packages over the internet and install them without any user interaction.
25,30,MSQ,What measures can you take to ensure Python code is compatible with both Python 2 and Python 3? (Select all that apply),Use the future module or compatibility libraries like 'six' | Use absolute imports | Avoid using Unicode literals | Use print as a function,"Use the future module or compatibility libraries like 'six', Use absolute imports, Use print as a function","To ensure compatibility, you can use the future module, use compatibility libraries like 'six', use absolute imports, run '2to3' for conversion, and use print as a function."
25,30,FILL_BLANK,"To automatically convert Python 2 code to Python 3, you can run the ________ tool.",,2to3,The '2to3' tool is used to automatically convert Python 2 code to Python 3 code.
25,30,MCQ,What is returned by the modulus operator in Python?,The quotient of a division rounded down | The remainder of a division | A float representing the exact division result | The power of the base number,The remainder of a division,"The modulus operator returns the remainder of a division (for example, 5 % 2 would return 1)."
25,30,FLASHCARD,"In Python, what is the difference between the standard division operator (/) and the floor division operator (//)?",,"The division operator (/) performs floating-point division and returns a float, whereas the floor division operator (//) performs division and rounds down the result.","The division operator (/) gives a precise float result (e.g., 5 / 2 = 2.5), whereas floor division (//) rounds down to the nearest integer."
25,30,MCQ,"Unlike C++, Python does not support which of the following features?",Single-line comments | Docstrings | Multi-line comments | String formatting,Multi-line comments,"Unlike C++, Python does not support multi-line comments directly, although docstrings are sometimes used as a workaround."
30,35,MCQ,What is the result of 5 floor division 2 (5 // 2) in Python?,2 | 2.5 | 3 | 1,2,"Floor division (//) divides the numbers and rounds down to the nearest whole number. 5 divided by 2 is 2.5, which rounds down to 2."
30,35,MSQ,Which of the following are reasons why Python might not deallocate all memory upon exit? (Select all that apply),Objects with circular references to other objects | Objects referenced from global namespaces | Portions of memory reserved by the C library | Python lacks any clean up mechanism entirely,"Objects with circular references to other objects, Objects referenced from global namespaces, Portions of memory reserved by the C library","Memory is not always fully deallocated upon exit due to circular references, references from global namespaces, and limitations in deallocating memory reserved by the C library."
30,35,FILL_BLANK,A set is called ______ because its items do not have a specific order or sequence like a list does.,,unordered,Sets are called unordered because their elements do not have a specific sequence or position like a list does.
30,35,MCQ,Which statement correctly describes the mutability of sets and their elements?,"Sets are mutable, but the items within them are immutable | Sets are immutable, but the items within them are mutable | Both sets and their items are mutable | Both sets and their items are immutable","Sets are mutable, but the items within them are immutable","Sets themselves are mutable, meaning you can add or remove items, but the individual elements within the set must be immutable (cannot be changed)."
30,35,MCQ,What is the primary difference in dimensionality between a pandas Series and a Data Frame?,"A Series is one-dimensional, while a Data Frame is two-dimensional | A Series is two-dimensional, while a Data Frame is one-dimensional | Both are one-dimensional | Both are two-dimensional","A Series is one-dimensional, while a Data Frame is two-dimensional","A pandas Series is a 1D array-like object, whereas a Data Frame is a 2D table-like structure."
30,35,FLASHCARD,How can a pandas Data Frame be conceptualized in relation to Series objects?,,A collection of Series objects that share the same index.,A pandas Data Frame can be conceptualized as a collection of Series objects aligned by a common index.
30,35,FILL_BLANK,"The ______ function is used to determine the length of various data types such as strings, lists, and arrays.",,len,"The built-in len function in Python is used to find the length or number of items in objects like strings, lists, and arrays."
30,35,MCQ,Why is it impossible to access set elements by their position or index?,Because sets are unordered and do not have fixed positions | Because sets only allow string-based keys | Because sets are completely immutable | Because sets can only hold a single item,Because sets are unordered and do not have fixed positions,"Because sets are unordered collections, items do not have a specific sequence or position, making positional access impossible."
30,35,MSQ,Which of the following operations are allowed on a Python set? (Select all that apply),Adding items | Removing items | Checking if an item is present | Modifying an existing element in-place,"Adding items, Removing items, Checking if an item is present","Because sets are mutable, you can add or remove elements, but you cannot modify existing elements in-place because elements within a set must remain immutable."
30,35,FLASHCARD,Why can't all memory reserved by the C library be freed when Python exits?,,It is not possible to deallocate portions of memory reserved by the C library on exit.,"While Python attempts to clean up every object using its own mechanism, portions of memory reserved by the C library cannot be deallocated on exit."
30,35,MCQ,What types of data can a pandas Series hold?,Any data type | Only numeric data types | Only string data types | Only boolean data types,Any data type,"A pandas Series is a one-dimensional array-like object that can hold any data type (integers, strings, floats, Python objects, etc.)."
30,35,FILL_BLANK,A Data Frame is a two-dimensional table-like structure with potentially ______ typed columns.,,heterogeneously,"Columns in a pandas Data Frame can contain different data types, which means they are heterogeneously typed."
30,35,MCQ,What does the floor division operator (//) do in Python?,Divides two numbers and rounds the result down to the nearest whole number | Divides two numbers and rounds the result up to the nearest whole number | Returns the remainder of a division | Returns the absolute value of the division,Divides two numbers and rounds the result down to the nearest whole number,The floor division operator (//) divides the numbers and returns the largest integer less than or equal to the result.
30,35,FLASHCARD,Does Python deallocate all memory upon exit?,,"No, Python does not always free all memory upon exit due to circular references, global references, and C library reservations.","Python will try to deallocate every object using its cleanup mechanism, but circular references, global namespace references, and C library memory prevent complete deallocation."
30,35,MSQ,Which of the following data types can have their length determined using the len() function? (Select all that apply),Strings | Lists | Arrays | Integers,"Strings, Lists, Arrays","The len() function can determine the length of sequence and collection types like strings, lists, and arrays, but it does not work on non-sequence types like integers."
